Index,Source Name,Time Written,Event ID,Record Number,Event Type,Event Category,Computer Name
1,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:09:17 2022,4611,150490,8,12289,Harsh
2,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:09:16 2022,4611,150489,8,12289,Harsh
3,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150488,8,13824,Harsh
4,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150487,8,13824,Harsh
5,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150486,8,13824,Harsh
6,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150485,8,13824,Harsh
7,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150484,8,13824,Harsh
8,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150483,8,13824,Harsh
9,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150482,8,13824,Harsh
10,Microsoft-Windows-Security-Auditing,Mon Nov  7 20:07:44 2022,4798,150481,8,13824,Harsh
